mode,run_idx,ttft_s,e2e_s,prompt_tokens,output_tokens,error
stream,1,0.10071387467905879,3.0236349999904633,21,97,
stream,2,0.10035929083824158,2.772695040795952,21,95,
stream,3,0.08560604229569435,3.3285058750770986,21,109,
stream,4,0.08372020768001676,3.2227691248990595,21,107,
stream,5,0.08677108399569988,3.0454072086140513,21,103,
stream,6,0.08886508271098137,4.115219832863659,21,134,
stream,7,0.1307337498292327,2.9542462499812245,21,99,
stream,8,0.08486299961805344,3.293244249653071,21,112,
stream,9,0.080249167047441,2.5050475830212235,21,85,
stream,10,0.07909795874729753,3.5355745418928564,21,122,
stream,11,0.08473858330398798,3.084203999955207,21,106,
stream,12,0.08386429212987423,3.138153583277017,21,109,
stream,13,0.08717312524095178,2.542783417273313,21,87,
stream,14,0.08441587490960956,3.3123202500864863,21,113,
stream,15,0.08936575008556247,3.3152251671999693,21,108,
stream,16,0.09806545916944742,3.0077491672709584,21,100,
stream,17,0.08334008324891329,2.9419162501581013,21,100,
stream,18,0.08440124988555908,3.0077688326127827,21,100,
stream,19,0.08327691676095128,2.6491432921029627,21,90,
stream,20,0.0866163750179112,3.3841624166816473,21,116,
nonstream,1,,3.3768615829758346,21,116,
nonstream,2,,3.224040708038956,21,110,
nonstream,3,,2.9773318339139223,21,101,
nonstream,4,,2.4606457501649857,21,84,
nonstream,5,,3.307865624781698,21,113,
nonstream,6,,2.932824792340398,21,100,
nonstream,7,,2.7642436660826206,21,94,
nonstream,8,,3.0479634581133723,21,105,
nonstream,9,,3.0131324590183794,21,103,
nonstream,10,,2.9818926248699427,21,102,
nonstream,11,,2.8650428750552237,21,98,
nonstream,12,,2.5867765420116484,21,88,
nonstream,13,,2.7509401249699295,21,94,
nonstream,14,,3.5783458328805864,21,120,
nonstream,15,,3.514491125009954,21,120,
nonstream,16,,3.093251833692193,21,106,
nonstream,17,,3.0644616670906544,21,106,
nonstream,18,,3.0235881665721536,21,104,
nonstream,19,,3.098406041972339,21,106,
nonstream,20,,3.0411785412579775,21,101,
