mode,n_runs,p50_e2e_s,p95_e2e_s,avg_prompt_tokens,avg_output_tokens,p50_ttft_s,p95_ttft_s
nonstream,20,3.0323833539150655,3.5176838604034857,21.0,103.55,,
stream,20,3.0648056042846292,3.564556806441397,21.0,104.6,0.08523452095687384,0.10221486843656741
