size,p50_ttft_s,p95_ttft_s,p50_e2e_s,p95_e2e_s,p50_decode_tps,p95_decode_tps,avg_prompt_tokens,avg_output_tokens
long,0.114328,0.12160135000000001,9.198841,14.274468800000001,34.3125,34.711800000000004,60.0,333.93333333333334
medium,0.1152575,0.12380714999999999,3.508467,3.9298628499999997,35.239999999999995,35.477850000000004,43.0,116.76666666666667
short,0.112639,0.1234837,0.17056349999999998,0.19864845,51.337,51.90005,17.0,3.1
xlong,0.120209,0.13128375,27.554402500000002,32.81587645,31.2685,31.700200000000002,443.0,854.0
